name,state,par_mean,par_median
Belmont Abbey College,NC,124431.8340764578,97900
Belmont College,OH,58512.50717722751,53000
Belmont University,TN,187916.1580901798,116700
Beloit College,WI,178407.6344114314,109800
Benedictine College,KS,104279.5052083333,90200
Benedictine University,IL,130073.1927083333,104500
Bennett College,NC,59536.14465525794,50000
Bennington College,VT,167420.252799131,99200
Bentley University,MA,188624.2859943068,119600
Bergen Community College,NJ,97734.94201933214,72000
"Berkeley College of New York, NY",NY,61200.79279548891,42500
"Berkeley College of Woodland Park, NJ",NJ,70132.76352163461,51200
Berklee College Of Music,MA,214504.3778281451,119300
Berkshire Community College,MA,88979.13946049528,66000
Berry College,GA,133228.0208333333,103100
Beth Medrash Govoha Of America,NJ,185551.8811808968,91100
"Bethany College of Bethany, WV",WV,84672.02864583333,77600
"Bethany College of Lindsborg, KS",KS,88647.19835737179,73700
Bethany Lutheran College,MN,89334.94181801994,76000
Bethel College,IN,106638.6623692966,81300
"Bethel University of McKenzie, TN",TN,67322.70833333333,54700
"Bethel University of Saint Paul, MN",MN,152973.1176552106,100000
Bethune Cookman University,FL,55685.3671875,43000
Bevill State Community College,AL,58937.8853443287,50100
Big Bend Community College,WA,73206.44811252321,64400
Binghamton University,NY,117250.8661511076,104400
Biola University,CA,159678.2209501558,95300
Birmingham Southern College,AL,232673.821232679,137900
Bishop State Community College,AL,45969.41987824675,31400
Bismarck State College,ND,75442.06240383595,68300
Black Hawk College,IL,78878.48803898532,74000
Black River Technical College,AR,53706.24563929738,41100
Blackburn University,IL,74065.265625,65800
Blackhawk Technical College,WI,77468.63986177885,73400
Bladen Community College,NC,46182.47516324627,36100
Blinn College,TX,109053.6045543478,83400
Bloomfield College,NJ,52584.27923664648,40800
Bloomsburg University Of Pennsylvania,PA,101333.0934925605,89800
Blue Mountain Community College,OR,67935.078125,61400
"Blue Ridge Community College of Flat Rock, NC",NC,69763.49963905287,60800
"Blue Ridge Community College of Weyers Cave, VA",VA,84341.15470587206,71600
Bluefield State College,WV,60400.96442407025,54700
Bluffton University,OH,90094.58333333331,77100
Boise State University,ID,94480.98081686436,77100
Boricua College,NY,37878.39322916666,28900
Bossier Parish Community College,LA,75891.86944867886,63000
Boston College,MA,394426.3456564344,168400
Boston University,MA,262524.4335280317,126800
Bowdoin College,ME,410517.6497208931,177600
Bowling Green State University,OH,114765.6494977266,92800
"Bradford School of Columbus, OH",OH,60225.62760416666,54100
"Bradford School of Pittsburgh, PA",PA,77006.546875,69400
Bradley University,IL,158446.4213228076,112900
Brandeis University,MA,299664.4729385198,142700
Brazosport College,TX,80082.90404990337,74000
Brenau University,GA,126124.5116506177,87000
Brevard College,NC,193567.7092086835,93900
Brewton Parker College,GA,70745.015625,63400
Briar Cliff University,IA,88356.02157059741,74400
Briarcliffe College,NY,82617.98061096051,64800
Bridgerland Applied Technology College,UT,78726.00260416667,70000
Bridgewater College,VA,110865.4330429225,91300
Bridgewater State University,MA,107859.3629343459,93300
Brigham Young University,UT,197843.0225232432,119600
Brigham Young University - Hawaii,HI,120099.5234375,93200
Brigham Young University-Idaho,ID,124229.6447070427,92600
Bristol Community College,MA,76552.47119022967,69500
Brookdale Community College,NJ,112528.4515533117,93200
Brookline College,AZ,40820.67815313276,30000
Brooks Institute,CA,161301.6040452199,95300
Broome Community College,NY,76614.34585790987,65700
Broward College,FL,77850.61707264623,54900
Brown College,MN,91665.3410303858,67800
Brown University,RI,542890.8084748986,197000
Brunswick Community College,NC,57462.21270406921,47200
Bryan College,TN,141063.2931345814,78800
Bryant University,RI,158784.9010416667,116900
Bryn Mawr College,PA,222398.8616323807,125400
Bucknell University,PA,296115.8312095469,149800
Bucks County Community College,PA,102425.6867213254,87000
Buena Vista University,IA,89198.67847231345,69800
Bunker Hill Community College,MA,67958.95742301607,49500
Burlington County College - Pemberton Campus,NJ,94760.71005354148,83200
"Butler County Community College of Butler, PA",PA,74248.59375,66300
"Butler County Community College of El Dorado, KS",KS,81621.47910019028,75200
Butler University,IN,196070.5854831081,121500
Butte College,CA,81294.32462104988,64100
CUNY Bernard M. Baruch College,NY,66249.87844817636,42800
CUNY Borough Of Manhattan Community College,NY,45008.48356093292,33500
CUNY Bronx Community College,NY,39859.1979445366,29700
CUNY Brooklyn College,NY,81701.99677853665,52200
CUNY Hunter College,NY,74827.43685478682,49800
CUNY John Jay College Of Criminal Justice,NY,56952.99518610886,41800
CUNY Laguardia Community College,NY,42930.78843024901,33800
CUNY Lehman College,NY,45762.72521685943,32500
CUNY Medgar Evers College,NY,44877.50818845364,35100
CUNY Queens College,NY,93543.63790621042,63300
CUNY York College,NY,46950.67206960484,36500
"CUNY, Hostos Community College",NY,34486.35480479816,26700
Cabrillo College,CA,103351.7814515412,70200
Cabrini College,PA,144233.601625,98100
Cairn University,PA,96076.0417330995,77100
Caldwell College,NJ,106866.5620894513,84300
Caldwell Community College & Technical Institute,NC,89643.48530138339,60300
Calhoun Community College,AL,81785.55738202525,72600
California Baptist University,CA,94525.1992319468,82600
California College Of The Arts,CA,160342.7457884097,90100
California Culinary Academy,CA,110464.0924648268,66000
California Institute Of Technology,CA,185591.1348339161,124500
California Institute Of The Arts,CA,205473.4940981658,108700
California Lutheran University,CA,169644.5575173611,110600
California Maritime Academy,CA,132454.2233922101,113100
California Polytechnic State University,CA,169835.7176028801,124800
"California State Polytechnic University, Pomona",CA,98379.03404831272,80200
California State University - Sacramento,CA,107518.9903721526,88700
California State University Channel Islands,CA,141960.9635416667,96300
"California State University, Bakersfield",CA,84211.55416442722,67700
"California State University, Chico",CA,150534.7387635201,112200
"California State University, Dominguez Hills",CA,57771.22736740676,45600
"California State University, East Bay",CA,104528.779388457,86000
"California State University, Fresno",CA,93996.48604629956,72400
"California State University, Fullerton",CA,103739.6362152485,83300
