unitid,institution,year,tuition_fees,full_time_ug_enrollment,pct_asian,pct_black,pct_hispanic,pct_native,pct_white,in_state_ug_num,in_state_ug_pct,out_of_state_ug_num,out_of_state_ug_pct,foreign_ug_num,foreign_ug_pct,pct_admitted,yield,pct_pell,xpgrnt_p
190150,Columbia University in the City of New York,2023,69045.0,8428,13,5,9,0,25,,,,,,,4.0,63.0,22.0,R
190415,Cornell University,2023,66014.0,15899,19,6,11,0,29,1148.0,32.0,1953.0,55.0,360.0,10.0,8.0,66.0,19.0,R
193405,Icahn School of Medicine at Mount Sinai,2023,,0,23,9,12,0,32,,,,,,,,,,
193900,New York University,2023,60438.0,28692,17,6,12,0,24,1350.0,23.0,2900.0,50.0,1564.0,27.0,9.0,54.0,22.0,R
195030,University of Rochester,2023,64348.0,6350,13,5,7,0,37,,,,,,,36.0,20.0,20.0,R
198419,Duke University,2023,65805.0,6435,14,7,8,0,36,,,,,,,7.0,55.0,11.0,R
199120,University of North Carolina at Chapel Hill,2023,8989.0,19840,13,9,9,0,54,3735.0,79.0,723.0,15.0,221.0,5.0,19.0,43.0,17.0,R
201645,Case Western Reserve University,2023,64671.0,6093,20,7,9,0,39,210.0,14.0,1064.0,69.0,184.0,12.0,29.0,14.0,17.0,R
201885,University of Cincinnati-Main Campus,2023,13570.0,26296,6,8,5,0,65,5301.0,77.0,1382.0,20.0,228.0,3.0,88.0,24.0,19.0,R
204662,Ohio State University Agricultural Technical Institute,2023,9310.0,424,0,2,2,0,91,224.0,99.0,2.0,1.0,0.0,0.0,,,29.0,R
207342,University of Oklahoma-Health Sciences Center,2023,,1101,12,4,8,0,59,,,,,,,,,,A
209490,Oregon Health & Science University,2023,,494,13,3,14,0,59,,,,,,,,,,A
214591,Pennsylvania State University-Penn State Erie-Behrend College,2023,15944.0,3063,5,4,4,0,77,,,,,,,96.0,19.0,28.0,R
215062,University of Pennsylvania,2023,66104.0,10610,19,7,8,0,30,350.0,14.0,1663.0,69.0,322.0,13.0,6.0,69.0,19.0,R
215266,University of Pittsburgh-Bradford,2023,14620.0,951,4,11,7,0,66,184.0,59.0,107.0,35.0,18.0,6.0,91.0,7.0,47.0,R
